simulation_1_yearsatAB 
 Date_from_1Jan     Obs.    1-year_sim.(without init)      Mean_yearly_Obs   Sim. With initial.
   55.000000         8.850000       0.000000           8.000000         0.000000
   56.000000         9.100000       0.000000           8.100000         0.000000
   57.000000         8.970000       0.000000           8.100000         0.000000
   58.000000         8.840000       0.000000           8.100000         0.000000
   59.000000         9.030000       0.000000           8.100000         0.000000
   60.000000         9.050000       0.000000           8.100000         0.000000
   61.000000         9.370000       0.000000           8.200000         0.000000
   62.000000         9.370000       0.000000           8.200000         0.000000
   63.000000         9.030000       0.000000           8.100000         0.000000
   64.000000         9.230000       0.000000           8.100000         0.000000
   65.000000         9.190000       0.000000           8.100000         0.000000
   66.000000         9.600000       0.000000           8.000000         0.000000
   67.000000         9.490000       0.000000           8.100000         0.000000
   68.000000         9.250000       0.000000           8.100000         0.000000
   69.000000         9.320000       0.000000           8.100000         0.000000
   70.000000         9.380000       0.000000           8.200000         0.000000
   71.000000         9.130000       0.000000           8.300000         0.000000
   72.000000         9.500000       0.000000           8.500000         0.000000
   73.000000         9.600000       0.000000           8.500000         0.000000
   74.000000         9.830000       0.000000           8.400000         0.000000
   75.000000         10.090000       0.000000           8.400000         0.000000
   76.000000         9.830000       0.000000           8.500000         0.000000
   77.000000         9.830000       0.000000           8.500000         0.000000
   78.000000         9.500000       0.000000           8.300000         0.000000
   79.000000         10.110000       0.000000           8.400000         0.000000
   80.000000         10.090000       0.000000           8.400000         0.000000
   81.000000         9.690000       0.000000           8.400000         0.000000
   82.000000         9.100000       0.000000           8.300000         0.000000
   83.000000         8.990000       0.000000           8.200000         0.000000
   84.000000         9.330000       0.000000           8.300000         0.000000
   85.000000         9.820000       0.000000           8.200000         0.000000
   86.000000         9.800000       0.000000           8.200000         0.000000
   87.000000         9.810000       0.000000           8.200000         0.000000
   88.000000         9.850000       0.000000           8.200000         0.000000
   89.000000         9.990000       0.000000           8.200000         0.000000
   90.000000         10.230000       0.000000           8.300000         0.000000
   91.000000         10.690000       0.000000           8.400000         0.000000
   92.000000         10.860000       0.705279           8.300000         0.705279
   93.000000         11.260000       4.448144           8.300000         4.448144
   94.000000         11.430000       9.110163           8.300000         9.110163
   95.000000         11.640000       12.062579           8.400000         12.062579
   96.000000         12.110000       13.313539           8.500000         13.313539
   97.000000         12.090000       8.324715           8.600000         8.324715
   98.000000         11.590000       5.429052           8.800000         5.429052
   99.000000         11.180000       2.923565           8.900000         2.923565
   100.000000         11.130000       1.173941           9.000000         1.173941
   101.000000         11.070000       0.369306           9.100000         0.369306
   102.000000         10.840000       0.104506           9.100000         0.104506
   103.000000         10.730000       0.033414           9.400000         0.033414
   104.000000         10.730000       0.013318           9.600000         0.013318
   105.000000         10.520000       0.006514           9.700000         0.006514
   106.000000         10.290000       0.003635           9.600000         0.003635
   107.000000         10.090000       0.002215           9.600000         0.002215
   108.000000         10.180000       0.001438           9.600000         0.001438
   109.000000         10.430000       0.000978           9.800000         0.000978
   110.000000         10.640000       0.000691           10.100000         0.000691
   111.000000         10.660000       0.000503           10.700000         0.000503
   112.000000         10.260000       0.000375           11.100000         0.000375
   113.000000         10.240000       0.000286           11.700000         0.000286
   114.000000         10.370000       0.000222           12.200000         0.000222
   115.000000         10.260000       0.190348           13.800000         0.190348
   116.000000         10.540000       11.237552           15.200000         11.237552
   117.000000         11.220000       23.831045           15.300000         23.831045
   118.000000         11.860000       22.138615           15.300000         22.138615
   119.000000         12.030000       12.519635           15.600000         12.519635
   120.000000         11.710000       3.861991           15.300000         3.861991
   121.000000         11.350000       1.557647           15.200000         1.557647
   122.000000         11.300000       1.537199           15.300000         1.537199
   123.000000         11.380000       8.832167           15.800000         8.832167
   124.000000         12.140000       26.386444           16.299999         26.386444
   125.000000         13.690000       53.429543           16.600000         53.429543
   126.000000         17.070000       95.822601           17.700001         95.822601
   127.000000         23.170000       153.620636           18.299999         153.620636
   128.000000         29.440001       221.025864           19.200001         221.025864
   129.000000         37.139999       276.949493           21.000000         276.949493
   130.000000         47.160000       302.024384           23.000000         302.024384
   131.000000         57.279999       306.286682           24.200001         306.286682
   132.000000         73.120003       306.064697           26.100000         306.064697
   133.000000         99.250000       301.901672           29.700001         301.901672
   134.000000         104.220001       285.385223           31.400000         285.385223
   135.000000         91.370003       253.408585           33.200001         253.408585
   136.000000         79.470001       207.730698           36.299999         207.730698
   137.000000         71.099998       157.927490           43.500000         157.927490
   138.000000         64.330002       117.133949           50.200001         117.133949
   139.000000         62.540001       88.295662           56.500000         88.295662
   140.000000         65.029999       73.546181           60.799999         73.546181
   141.000000         70.349998       70.696388           63.099998         70.696388
   142.000000         83.129997       71.395210           64.500000         71.395210
   143.000000         84.589996       75.780495           63.000000         75.780495
   144.000000         85.699997       84.209122           63.400002         84.209122
   145.000000         83.050003       92.234245           65.900002         92.234245
   146.000000         74.599998       96.288651           69.599998         96.288651
   147.000000         68.870003       94.678513           68.599998         94.678513
